Building Name,Room,Registrar Code,Floor,Area,Capacity,Room Type,Controlled by Registrar,Used,"Media
Control",Players,Inputs,VDC,Voice Amplification,Projector,"Screen
Type",Screen Width,Video Display,Zoom Capable,Podcasting,iclicker,Close Caption Decoder/ Assisted Listening Devices (By Request),Network
Mandeville Center,B202,MANDE B202,B2,3070,158,Lecture Hall,Yes,Yes,Touchscreen,"VHS/DVD/CD combo deck
Blu-Ray Disc player, separate
","VGA with audio
HDMI
iPod/MP3
",Yes,"Wireless
",High Definition,Electric,15',N/A,"Zoom Capable Room
Camera and Microphone
","Audio (lapel or over-the-ear mic)
Tracking camera
",Yes,Yes,"Ethernet
Wireless
"
Mandeville Center,135,MANDE AUD,1,7770,428,Assembly,Yes,Yes,None,None,None,No,None,None,N/A,N/A,N/A,"Not a Zoom Capable Room
",None,Yes,Yes,"Wireless
"
McGill Hall,2315,MCGIL 2315,2,480,22,Classroom,Yes,Yes,Touchscreen,"VHS/DVD/CD combo deck
","VGA with audio
HDMI
iPod/MP3
",Yes,None,High Definition,Electric,"6' 8""",N/A,"Not a Zoom Capable Room
","Audio (ceiling mic)
Screen
",Yes,Yes,"Ethernet
Wireless
"
McGill Hall,2322,MCGIL 2322,2,286,15,Classroom,Yes,Yes,Touchscreen,"VHS/DVD/CD combo deck
","VGA with audio
HDMI
iPod/MP3
",Yes,None,High Definition,Electric,"6' 8""",N/A,"Zoom Capable Room
Camera and Microphone
","Audio (ceiling mic)
Screen
Tracking camera
",Yes,Yes,"Ethernet
Wireless
"
McGill Hall,2330,MCGIL 2330,2,286,15,Classroom,Yes,Yes,Touchscreen,"VHS/DVD/CD combo deck
","VGA with audio
HDMI
iPod/MP3
",Yes,None,High Definition,Electric,"6' 8""",N/A,"Not a Zoom Capable Room
Zoom Capable Room
Camera and Microphone
","Audio (ceiling mic)
Screen
Tracking camera
",Yes,Yes,"Ethernet
Wireless
"
McGill Hall,2334,MCGIL 2334,2,286,15,Classroom,Yes,Yes,Touchscreen,"VHS/DVD/CD combo deck
","VGA with audio
HDMI
iPod/MP3
",Yes,None,High Definition,Electric,"6' 8""",N/A,"Zoom Capable Room
Camera and Microphone
","Audio (ceiling mic)
Screen
Tracking camera
",Yes,Yes,"Ethernet
Wireless
"
McGill Hall,2342,MCGIL 2342,2,286,15,Classroom,Yes,Yes,Touchscreen,"VHS/DVD/CD combo deck
","VGA with audio
HDMI
iPod/MP3
",Yes,None,High Definition,Electric,"6' 8""",N/A,"Zoom Capable Room
Camera and Microphone
","Audio (ceiling mic)
Screen
Tracking camera
",Yes,Yes,"Ethernet
Wireless
"
Mosaic,MO0113,MOS 0113,1,2684,500,Lecture Hall,Yes,Yes,Touchscreen with Annotation,"Blu-Ray Disc player, separate
VHS Player available upon request
","HDMI
USB C
iPod/MP3
Wireless Video
",Yes,"Wireless
",High Definition,Electric,"11' 6""",N/A,"Zoom Capable Room
Camera and Microphone
","Audio (lapel or over-the-ear mic)
Screen
Tracking camera
",Yes,Yes,"Ethernet
Wireless
"
Mosaic,MO0114,MOS 0114,1,2600,250,Lecture Hall,Yes,Yes,Touchscreen with Annotation,"Blu-Ray Disc player, separate
VHS Player available upon request
","HDMI
USB C
iPod/MP3
Wireless Video
",Yes,"Wireless
",High Definition,Electric,"11' 6""",N/A,"Zoom Capable Room
Camera and Microphone
","Audio (lapel or over-the-ear mic)
Screen
Tracking camera
",Yes,Yes,"Ethernet
Wireless
"
Mosaic,MO0204,MOS 0204,2,1998,75,Classroom,Yes,Yes,Touchscreen with Annotation,"Blu-Ray Disc player, separate
VHS Player available upon request
","HDMI
USB C
iPod/MP3
Wireless Video
",No,"Wireless
",High Definition,Electric,9',"Wall 80 (2) WI
","Zoom Capable Room
Camera and Microphone
","Audio (lapel or over-the-ear mic)
Audio (audience ceiling mic)
Screen
Tracking camera
",N,No,"Ethernet
Wireless
"
Pepper Canyon Hall,106,PCYNH 106,1,2010,192,Lecture Hall,Yes,Yes,Touchscreen,"VHS/DVD/CD combo deck
Blu-Ray Disc player, separate
","VGA with audio
HDMI
iPod/MP3
",Yes,Wired (,High Definition,Electric,16',N/A,"Zoom Capable Room
Camera and Microphone
","Audio (lapel or over-the-ear mic)
Screen
Tracking camera
",Yes,Yes,"Ethernet
Wireless
"
Pepper Canyon Hall,109,PCYNH 109,1,2003,193,Lecture Hall,Yes,Yes,Touchscreen,"VHS/DVD/CD combo deck
Blu-Ray Disc player, separate
","VGA with audio
HDMI
iPod/MP3
",Yes,Wired (,High Definition,Electric,16',N/A,"Zoom Capable Room
Camera and Microphone
","Audio (lapel or over-the-ear mic)
Screen
Tracking camera
",Yes,Yes,"Ethernet
Wireless
"
Pepper Canyon Hall,120,PCYNH 120,1,1507,56,Classroom,Yes,Yes,Touchscreen,"VHS/DVD/CD combo deck
","VGA with audio
HDMI
iPod/MP3
",Yes,Wired (,High Definition,Electric,14',N/A,"Zoom Capable Room
Camera and Microphone
","Audio (ceiling mic)
Screen
Tracking camera
",Yes,Yes,"Ethernet
Wireless
"
Pepper Canyon Hall,121,PCYNH 121,1,1578,60,Classroom,Yes,Yes,Touchscreen,"VHS/DVD/CD combo deck
Blu-Ray Disc player, separate
","VGA with audio
HDMI
iPod/MP3
",Yes,Wired (,High Definition,Electric,14',N/A,"Zoom Capable Room
Camera and Microphone
","Audio (lapel or over-the-ear mic)
Screen
Tracking camera
",Yes,Yes,"Ethernet
Wireless
"
Pepper Canyon Hall,122,PCYNH 122,1,1528,115,Lecture Hall,Yes,Yes,Touchscreen,"VHS/DVD/CD combo deck
Blu-Ray Disc player, separate
","VGA with audio
HDMI
iPod/MP3
",Yes,Wired (,High Definition,Electric,14',N/A,"Zoom Capable Room
Camera and Microphone
","Audio (lapel or over-the-ear mic)
Screen
Tracking camera
",Yes,Yes,"Ethernet
Wireless
"
Pepper Canyon Hall,240,PCYNH 240,2,994,0,Classroom,Yes,Yes,Touchscreen,"Blu-Ray Disc player, separate
VHS Player available upon request
","HDMI
USB C
",No,Wired (,High Definition,Electric,8',N/A,"Zoom Capable Room
Camera and Microphone
","Audio (ceiling mic)
Screen
Tracking camera
",N,No,"Wireless
"
Peterson Hall,102,PETER 102,1,956,70,Classroom,Yes,Yes,Touchscreen,"VHS/DVD/CD combo deck
Blu-Ray Disc/DVD/VHS/CD combo deck
","VGA with audio
HDMI
iPod/MP3
",Yes,None,High Definition,Electric,8',N/A,"Zoom Capable Room
Camera and Microphone
","Audio (ceiling mic)
Screen
Tracking camera
",Yes,Yes,"Ethernet
Wireless
"
Peterson Hall,103,PETER 103,1,956,70,Classroom,Yes,Yes,Touchscreen,"VHS/DVD/CD combo deck
","VGA with audio
HDMI
iPod/MP3
",Yes,None,High Definition,Electric,8',N/A,"Zoom Capable Room
Camera and Microphone
","Audio (ceiling mic)
Screen
Tracking camera
",Yes,Yes,"Ethernet
Wireless
"
Peterson Hall,104,PETER 104,1,1018,75,Classroom,Yes,Yes,Touchscreen,"VHS/DVD/CD combo deck
","VGA with audio
HDMI
iPod/MP3
",Yes,None,High Definition,Electric,"7' 10""",N/A,"Zoom Capable Room
Camera and Microphone
","Audio (ceiling mic)
Screen
Tracking camera
",Yes,Yes,"Ethernet
Wireless
"
Peterson Hall,108,PETER 108,1,3405,410,Lecture Hall,Yes,Yes,Touchscreen,"VHS/DVD/CD combo deck
Blu-Ray Disc player, separate
","VGA with audio
HDMI
iPod/MP3
",Yes,Wired (,High Definition,Electric,14',N/A,"Zoom Capable Room
Camera and Microphone
","Audio (lapel or over-the-ear mic)
Screen
Tracking camera
",Yes,Yes,"Ethernet
Wireless
"
Peterson Hall,110,PETER 110,1,2933,328,Lecture Hall,Yes,Yes,Touchscreen,"VHS/DVD/CD combo deck
Blu-Ray Disc player, separate
","VGA with audio
HDMI
iPod/MP3
",Yes,Wired (,High Definition,Electric,14',N/A,"Zoom Capable Room
Camera and Microphone
","Audio (lapel or over-the-ear mic)
Screen
Tracking camera
",Yes,Yes,"Ethernet
Wireless
"
Podemos,0132,PODEM 0132,1,1216,44,Classroom,Yes,Yes,Touchscreen,"Blu-Ray Disc player, separate
VHS Player available upon request
","HDMI
USB C
",Yes,"Wireless
",High Definition,Electric,12',"Wall 80 (2) 
","Zoom Capable Room
Camera and Microphone
","Audio (lapel or over-the-ear mic)
Audio (audience ceiling mic)
Screen
Tracking camera
",N,No,"Wireless
"
Podemos,0133,PODEM 0133,1,1234,46,Classroom,Yes,Yes,Touchscreen,"Blu-Ray Disc player, separate
VHS Player available upon request
","HDMI
USB C
",Yes,"Wireless
",High Definition,Electric,12',"Wall 80 (2) 
","Zoom Capable Room
Camera and Microphone
","Audio (lapel or over-the-ear mic)
Audio (audience ceiling mic)
Screen
Tracking camera
",N,No,"Wireless
"
Podemos,1A18,PODEM 1A18,1,2439,96,Lecture Hall,Yes,Yes,Touchscreen,"Blu-Ray Disc player, separate
VHS Player available upon request
","HDMI
USB C
",Yes,"Wireless
",High Definition,Electric,12',"Wall 80 (4) 
","Zoom Capable Room
Camera and Microphone
","Audio (lapel or over-the-ear mic)
Audio (audience ceiling mic)
Screen
Tracking camera
",Yes,No,"Wireless
"
Podemos,1A19,PODEM 1A19,1,2376,90,Lecture Hall,Yes,Yes,Touchscreen,"Blu-Ray Disc player, separate
VHS Player available upon request
","HDMI
USB C
",Yes,"Wireless
",High Definition,Electric,12',"Wall 80 (4) 
","Zoom Capable Room
Camera and Microphone
","Audio (lapel or over-the-ear mic)
Audio (audience ceiling mic)
Screen
Tracking camera
",Yes,No,"Wireless
"
Podemos,1A20,PODEM 1A20,1,2408,104,Lecture Hall,Yes,Yes,Touchscreen,"Blu-Ray Disc player, separate
VHS Player available upon request
","HDMI
USB C
",Yes,"Wireless
",High Definition,Electric,12',"Wall 80 (4) 
","Zoom Capable Room
Camera and Microphone
","Audio (lapel or over-the-ear mic)
Audio (audience ceiling mic)
Screen
Tracking camera
",Yes,No,"Wireless
"
Podemos,1A22,PODEM 1A22,1,1291,44,Classroom,Yes,Yes,Touchscreen,"Blu-Ray Disc player, separate
VHS Player available upon request
","HDMI
USB C
",Yes,"Wireless
",High Definition,Electric,11',"Wall 80 (2) 
","Zoom Capable Room
Camera and Microphone
","Audio (lapel or over-the-ear mic)
Audio (audience ceiling mic)
Screen
Tracking camera
",N,No,"Wireless
"
Podemos,1A23,PODEM 1A23,1,1238,46,Classroom,Yes,Yes,Touchscreen,"Blu-Ray Disc player, separate
VHS Player available upon request
","HDMI
USB C
",Yes,"Wireless
",High Definition,Electric,11',"Wall 80 (2) 
","Zoom Capable Room
Camera and Microphone
","Audio (lapel or over-the-ear mic)
Audio (audience ceiling mic)
Screen
Tracking camera
",N,No,"Wireless
"
Price Center West,1.402,PRICE THEATRE,1,4651,481,Assembly,Yes,Yes,Pushbutton,"VHS/DVD/CD combo deck
","VGA with audio
iPod/MP3
",Yes,Wired (,High Definition,Fixed screen with movable masking,29',N/A,"Not a Zoom Capable Room
","Audio (lapel or over-the-ear mic)
Screen
",Yes,Yes,"Ethernet
Wireless
"
Ridge Walk Academic Building,0103,RWAC 0103,01,1358,50,Classroom,Yes,Yes,Touchscreen with Annotation,"Blu-Ray Disc player, separate
VHS Player available upon request
","HDMI
USB C
iPod/MP3
Wireless Video
",Yes,"Wireless
",High Definition,Electric,8',"Wall 80 (2) WI
","Zoom Capable Room
Camera and Microphone
","Audio (lapel or over-the-ear mic)
Audio (audience ceiling mic)
Screen
Tracking camera
",N,No,"Ethernet
Wireless
"
Ridge Walk Academic Building,0115,RWAC 0115,01,1267,50,Classroom,Yes,Yes,Touchscreen with Annotation,"Blu-Ray Disc player, separate
VHS Player available upon request
","HDMI
USB C
iPod/MP3
Wireless Video
",Yes,"Wireless
",High Definition,Electric,9',"Wall 80 (2) WI
","Zoom Capable Room
Camera and Microphone
","Audio (lapel or over-the-ear mic)
Audio (audience ceiling mic)
Screen
Tracking camera
",N,No,"Ethernet
Wireless
"
Ridge Walk Academic Building,0121,RWAC 0121,01,1799,75,Classroom,Yes,Yes,Touchscreen with Annotation,"Blu-Ray Disc player, separate
VHS Player available upon request
","HDMI
USB C
iPod/MP3
Wireless Video
",Yes,"Wireless
",High Definition,Electric,"11' 6""","Wall 80 (2) WI
","Zoom Capable Room
Camera and Microphone
","Audio (lapel or over-the-ear mic)
Audio (audience ceiling mic)
Screen
Tracking camera
",N,No,"Ethernet
Wireless
"
Robinson Building 2 - Auditorium,2101,RBC 2101,1,2656,304,Assembly,Yes,Yes,Touchscreen,"VHS/DVD/CD combo deck
","VGA with audio
HDMI
iPod/MP3
",No,Wired (,High Definition,Electric,"9' 6""",N/A,"Zoom Capable Room
Camera and Microphone
","Audio (lapel or over-the-ear mic)
Screen
Tracking camera
",Yes,Yes,"Ethernet
Wireless
"
Social Sciences Building,106,SSB 106,1,393,20,Classroom,Yes,Yes,Touchscreen,"VHS/DVD/CD combo deck
","VGA with audio
HDMI
iPod/MP3
",Yes,None,High Definition,Electric,8',N/A,"Not a Zoom Capable Room
","Audio (ceiling mic)
Screen
",Yes,Yes,"Ethernet
Wireless
"
Solis Hall,104,SOLIS 104,1,1533,149,Lecture Hall,Yes,Yes,Touchscreen,"Blu-Ray Disc/DVD/VHS/CD combo deck
","VGA with audio
HDMI
iPod/MP3
",Yes,Wired (,High Definition,Electric,12',N/A,"Zoom Capable Room
Camera and Microphone
","Audio (lapel or over-the-ear mic)
Screen
Tracking camera
",Yes,Yes,"Ethernet
Wireless
"
Solis Hall,105,SOLIS 105,1,700,46,Classroom,Yes,Yes,Touchscreen,"Blu-Ray Disc player, separate
","VGA with audio
HDMI
",Yes,None,High Definition,Electric,N/A,N/A,"Not a Zoom Capable Room
","Audio (ceiling mic)
Screen
Tracking camera
",N,No,"Wireless
"
Solis Hall,107,SOLIS 107,1,3173,300,Lecture Hall,Yes,Yes,Touchscreen,"VHS/DVD/CD combo deck
Blu-Ray Disc player, separate
","VGA with audio
HDMI
iPod/MP3
",Yes,Wired (,High Definition,Electric,20',N/A,"Zoom Capable Room
Camera and Microphone
","Audio (lapel or over-the-ear mic)
Screen
Tracking camera
",Yes,Yes,"Ethernet
Wireless
"
Solis Hall,109,SOLIS 109,1,549,44,Classroom,Yes,Yes,Touchscreen,"VHS/DVD/CD combo deck
","VGA with audio
HDMI
iPod/MP3
",Yes,None,Widescreen,Electric,8',N/A,"Zoom Capable Room
Camera and Microphone
","Audio (lapel or over-the-ear mic)
Screen
Tracking camera
",Yes,Yes,"Ethernet
Wireless
"
Solis Hall,110,SOLIS 110,1,548,46,Classroom,Yes,Yes,Touchscreen,"VHS/DVD/CD combo deck
","VGA with audio
HDMI
iPod/MP3
",Yes,None,Widescreen,Electric,8',N/A,"Zoom Capable Room
Camera and Microphone
","Audio (lapel or over-the-ear mic)
Screen
Tracking camera
",Yes,Yes,"Ethernet
Wireless
"
Solis Hall,111,SOLIS 111,1,555,44,Classroom,Yes,Yes,Touchscreen,"VHS/DVD/CD combo deck
","VGA with audio
HDMI
iPod/MP3
",Yes,None,Widescreen,Electric,8',N/A,"Zoom Capable Room
Camera and Microphone
","Audio (lapel or over-the-ear mic)
Screen
Tracking camera
",Yes,Yes,"Ethernet
Wireless
"
Warren Lecture Hall,2001,WLH 2001,1,3639,395,Lecture Hall,Yes,Yes,Touchscreen,"VHS/DVD/CD combo deck
Blu-Ray Disc player, separate
","VGA with audio
HDMI
iPod/MP3
",Yes,Wired (,High Definition,Electric,20',N/A,"Zoom Capable Room
Camera and Microphone
","Audio (lapel or over-the-ear mic)
Screen
Tracking camera
",Yes,Yes,"Ethernet
Wireless
"
Warren Lecture Hall,2005,WLH 2005,1,2205,200,Lecture Hall,Yes,Yes,Touchscreen,"VHS/DVD/CD combo deck
Blu-Ray Disc player, separate
","VGA with audio
HDMI
iPod/MP3
",Yes,Wired (,High Definition,Electric,14',N/A,"Zoom Capable Room
Camera and Microphone
","Audio (lapel or over-the-ear mic)
Screen
Tracking camera
",Yes,Yes,"Ethernet
Wireless
"
Warren Lecture Hall,2110,WLH 2110,1,492,28,Classroom,Yes,Yes,Touchscreen,"VHS/DVD/CD combo deck
","VGA with audio
HDMI
iPod/MP3
",Yes,None,High Definition,Electric,"7' 10""",N/A,"Zoom Capable Room
Camera and Microphone
","Audio (ceiling mic)
Screen
Tracking camera
",Yes,Yes,"Ethernet
Wireless
"
Warren Lecture Hall,2111,WLH 2111,1,943,70,Classroom,Yes,Yes,Touchscreen,"VHS/DVD/CD combo deck
","VGA with audio
HDMI
iPod/MP3
",Yes,Wired (,High Definition,Electric,8',N/A,"Zoom Capable Room
Camera and Microphone
","Audio (ceiling mic)
Screen
Tracking camera
",Yes,Yes,"Ethernet
Wireless
"
Warren Lecture Hall,2112,WLH 2112,1,563,40,Classroom,Yes,Yes,Touchscreen,"VHS/DVD/CD combo deck
","VGA with audio
HDMI
iPod/MP3
",Yes,None,High Definition,Electric,"7' 10""",N/A,"Zoom Capable Room
Camera and Microphone
","Audio (ceiling mic)
Screen
Tracking camera
",Yes,Yes,"Ethernet
Wireless
"
Warren Lecture Hall,2113,WLH 2113,1,683,49,Classroom,Yes,Yes,Touchscreen,"VHS/DVD/CD combo deck
","VGA with audio
HDMI
iPod/MP3
",Yes,None,High Definition,Electric,"7' 10""",N/A,"Zoom Capable Room
Camera and Microphone
","Audio (ceiling mic)
Screen
Tracking camera
",Yes,Yes,"Ethernet
Wireless
"
Warren Lecture Hall,2114,WLH 2114,1,567,40,Classroom,Yes,Yes,Touchscreen,"VHS/DVD/CD combo deck
","VGA with audio
HDMI
iPod/MP3
",Yes,None,High Definition,Electric,"7' 10""",N/A,"Not a Zoom Capable Room
","Audio (lapel or over-the-ear mic)
Screen
Tracking camera
",Yes,Yes,"Ethernet
Wireless
"
Warren Lecture Hall,2115,WLH 2115,1,638,40,Classroom,Yes,Yes,Touchscreen,"VHS/DVD/CD combo deck
","VGA with audio
HDMI
iPod/MP3
",Yes,None,High Definition,Electric,8',N/A,"Zoom Capable Room
Camera and Microphone
","Audio (lapel or over-the-ear mic)
Screen
Tracking camera
",Yes,Yes,"Ethernet
Wireless
"
Warren Lecture Hall,2204,WLH 2204,2,868,75,Classroom,Yes,Yes,Touchscreen,"VHS/DVD/CD combo deck
","VGA with audio
HDMI
iPod/MP3
",Yes,None,High Definition,Electric,"7' 10""",N/A,"Zoom Capable Room
Camera and Microphone
","Audio (ceiling mic)
Screen
Tracking camera
",Yes,Yes,"Ethernet
Wireless
"
Warren Lecture Hall,2205,WLH 2205,2,953,70,Classroom,Yes,Yes,Touchscreen,"VHS/DVD/CD combo deck
","VGA with audio
HDMI
iPod/MP3
",Yes,None,High Definition,Electric,"7' 10""",N/A,"Zoom Capable Room
Camera and Microphone
","Audio (ceiling mic)
Screen
Tracking camera
",Yes,Yes,"Ethernet
Wireless
"
Warren Lecture Hall,2206,WLH 2206,2,565,40,Classroom,Yes,Yes,Touchscreen,"VHS/DVD/CD combo deck
","VGA with audio
HDMI
iPod/MP3
",Yes,None,High Definition,Electric,"7' 7""",N/A,"Zoom Capable Room
Camera and Microphone
","Audio (ceiling mic)
Screen
Tracking camera
",Yes,Yes,"Ethernet
Wireless
"
Warren Lecture Hall,2207,WLH 2207,2,739,50,Classroom,Yes,Yes,Touchscreen,"VHS/DVD/CD combo deck
","VGA with audio
HDMI
iPod/MP3
",Yes,None,High Definition,Electric,"7' 10""",N/A,"Zoom Capable Room
Camera and Microphone
","Audio (ceiling mic)
Screen
Tracking camera
",Yes,Yes,"Ethernet
Wireless
"
Warren Lecture Hall,2208,WLH 2208,2,560,40,Classroom,Yes,Yes,Touchscreen,"VHS/DVD/CD combo deck
","VGA with audio
HDMI
iPod/MP3
",Yes,"Wireless
",High Definition,Electric,"7' 7""",N/A,"Zoom Capable Room
Camera and Microphone
","Audio (ceiling mic)
Screen
Tracking camera
",Yes,Yes,"Ethernet
Wireless
"
Warren Lecture Hall,2209,WLH 2209,2,640,40,Classroom,Yes,Yes,Touchscreen,"VHS/DVD/CD combo deck
","VGA with audio
HDMI
iPod/MP3
",Yes,None,High Definition,Electric,"7' 10""",N/A,"Zoom Capable Room
Camera and Microphone
","Audio (ceiling mic)
Screen
Tracking camera
",Yes,Yes,"Ethernet
Wireless
"
York Hall,2622,YORK 2622,2,1773,192,Lecture Hall,Yes,Yes,Touchscreen,"VHS/DVD/CD combo deck
Blu-Ray Disc player, separate
","VGA with audio
HDMI
iPod/MP3
",Yes,Wired (,High Definition,Electric,14',N/A,"Zoom Capable Room
Camera and Microphone
","Audio (lapel or over-the-ear mic)
Screen
Tracking camera
",Yes,Yes,"Ethernet
Wireless
"
York Hall,2722,YORK 2722,2,3018,362,Lecture Hall,Yes,Yes,Touchscreen,"VHS/DVD/CD combo deck
Blu-Ray Disc player, separate
","VGA with audio
HDMI
iPod/MP3
",Yes,Wired (,High Definition,Electric,16',N/A,"Zoom Capable Room
Camera and Microphone
","Audio (lapel or over-the-ear mic)
Screen
Tracking camera
",Yes,Yes,"Ethernet
Wireless
"
York Hall,3000A,YORK 3000A,3,455,34,Classroom,Yes,Yes,Touchscreen,"VHS/DVD/CD combo deck
","VGA with audio
HDMI
iPod/MP3
",Yes,None,Widescreen,Electric,"6' 8""",N/A,"Not a Zoom Capable Room
","Audio (ceiling mic)
Screen
",Yes,Yes,"Ethernet
Wireless
"
York Hall,3050,YORK 3050A,3,1501,50,Class Laboratory,Yes,Yes,Touchscreen,"VHS/DVD/CD combo deck
","VGA with audio
HDMI
iPod/MP3
",Yes,None,Widescreen,Electric,"6' 8""",N/A,"Not a Zoom Capable Room
","Audio (lapel or over-the-ear mic)
Screen
",Yes,Yes,"Ethernet
Wireless
"
